gen,seed,arm,rate,delivered,inj_prev,train_prev,mean_pstar,LogReg,MLP,LGBM
ARF,0,BASE,0.0,0,,0.1003571428571428,,0.845849618343106,0.839358744116494,0.819647971372649
ARF,0,balance,0.02,336,0.1011904761904761,0.1003734827264239,0.0966808946156067,0.8459242758182083,0.8398539334852011,0.8212196761296193
ARF,0,balance,0.05,840,0.1,0.1003401360544217,0.1032717993990524,0.8457889243429799,0.8400504501207541,0.8150752973963173
ARF,0,balance,0.1,1680,0.1005952380952381,0.1003787878787878,0.1015378897934217,0.8451483606366385,0.8371444625141519,0.8134796063019647
ARF,0,balance,0.2,3360,0.100297619047619,0.1003472222222222,0.1036246911233033,0.8451104964897708,0.8371000449572494,0.8090102234909852
ARF,0,clean,0.02,336,0.0773809523809523,0.099906629318394,0.1006432368374207,0.845918322066608,0.839934202049941,0.8203722945124743
ARF,0,clean,0.05,840,0.1261904761904762,0.1015873015873015,0.098412972674731,0.8456994895707405,0.8379429933852535,0.8195568661233418
ARF,0,clean,0.1,1680,0.1166666666666666,0.1018398268398268,0.1052592876427028,0.8457535444953412,0.8390874415076031,0.81918509931029
ARF,0,clean,0.2,3360,0.1059523809523809,0.1012896825396825,0.1008891528075741,0.8457619397134248,0.8381767745092396,0.8214036641871646
ARF,0,creative,0.02,336,0.1011904761904761,0.1003734827264239,0.2118202836164542,0.8459015316304404,0.8393998635520066,0.8198699520752979
ARF,0,creative,0.05,840,0.1,0.1003401360544217,0.2284965789655974,0.8453619675375762,0.8392528615700496,0.8196135980945254
ARF,0,creative,0.1,1680,0.1005952380952381,0.1003787878787878,0.2351489878098966,0.8455269592725698,0.8375868819406179,0.8217208192499268
ARF,0,creative,0.2,3360,0.100297619047619,0.1003472222222222,0.2314297888663088,0.8447779858878097,0.8379829135038969,0.8243455670507221
ARF,0,harmful_orig,0.02,336,0.8303571428571429,0.1146708683473389,0.235543145498166,0.8423988410487102,0.8366661920798485,0.8199734359880042
ARF,0,harmful_orig,0.05,840,0.8607142857142858,0.1365646258503401,0.2255066985607196,0.8335207265941319,0.8356244568807892,0.8245740583306606
ARF,0,harmful_orig,0.1,1680,0.8488095238095238,0.1683982683982684,0.2265670159105199,0.8147857266215448,0.8312875557511012,0.8256877311254938
ARF,0,harmful_orig,0.2,3360,0.8473214285714286,0.2248511904761904,0.2301286303717943,0.7693497355334973,0.821986896263888,0.8242814892637154
ARF,0,harmful_rank,0.02,336,0.1011904761904761,0.1003734827264239,0.2358290385988305,0.8445428769487185,0.8378519738014369,0.8180319561406394
ARF,0,harmful_rank,0.05,840,0.1,0.1003401360544217,0.2210202056621141,0.8416947992137963,0.8386667382830167,0.8194482851139421
ARF,0,harmful_rank,0.1,1680,0.1005952380952381,0.1003787878787878,0.2356833360242271,0.8347777391711966,0.8383737194722458,0.8176561202167818
ARF,0,harmful_rank,0.2,3360,0.100297619047619,0.1003472222222222,0.2286071011536618,0.814745849335647,0.8350758122459161,0.8155807666239023
ARF,0,random,0.02,336,0.1011904761904761,0.1003734827264239,0.2184892964010768,0.8458619970065052,0.8388399539051128,0.8187533666537827
ARF,0,random,0.05,840,0.1,0.1003401360544217,0.2242470985556273,0.8449971610456398,0.8387736059826039,0.8201587732770271
ARF,0,random,0.1,1680,0.1005952380952381,0.1003787878787878,0.2295363288374689,0.8446257583109232,0.8387223351864492,0.8216637446167807
ARF,0,random,0.2,3360,0.100297619047619,0.1003472222222222,0.2293237754840886,0.8430635195906697,0.8376494605815383,0.8211209252352717
ARF,1,BASE,0.0,0,,0.0999404761904761,,0.8460783880358891,0.841439644549893,0.824696260153074
ARF,1,balance,0.02,336,0.1011904761904761,0.0999649859943977,0.1002244350296455,0.8459040587624147,0.8401008214292566,0.823112840640257
ARF,1,balance,0.05,840,0.1,0.0999433106575963,0.0935074394545979,0.8457657089950136,0.8398267775246647,0.8209521856350623
ARF,1,balance,0.1,1680,0.1,0.0999458874458874,0.0917640571615607,0.8457406518389982,0.8411428992902786,0.8216045711791136
