gen,seed,arm,n,npos,LogReg,MLP,LGBM
ARF,0,no filter,24000,2467,0.8455527017525103,0.8390876556713296,0.8262882247985833
ARF,0,random drop 10%,21600,2229,0.8454649802900839,0.8380329849831821,0.8231758690250034
ARF,0,axis1 adversarial 10%,21600,2237,0.8455858114646468,0.8388768757315832,0.824535358945259
ARF,0,axis2 residual 10%,21600,523,0.8455239181476517,0.8317090727978487,0.8265863621224208
ARF,0,RELABEL y~Bern(p_hat),24000,2195,0.8456162655465731,0.8423276530259792,0.8245631145642299
ARF,0,RELABEL y=1[p_hat>prev],24000,5641,0.8458192070939249,0.8385912669857535,0.8370298849204065
ARF,1,no filter,24000,2434,0.8458408804630597,0.8403340885602989,0.8295692773396273
ARF,1,random drop 10%,21600,2185,0.8456495465896912,0.8412415859355084,0.8287200324980606
ARF,1,axis1 adversarial 10%,21600,2180,0.8454846405201883,0.8406388007105439,0.8281505711489593
ARF,1,axis2 residual 10%,21600,528,0.8450131804923915,0.8342469129583788,0.8268539596988413
ARF,1,RELABEL y~Bern(p_hat),24000,2269,0.8462463780630552,0.8431643050404204,0.8288393431101644
ARF,1,RELABEL y=1[p_hat>prev],24000,5600,0.8458662374482921,0.8397507494017121,0.835896230649879
ARF,2,no filter,24000,2452,0.8450835975257064,0.8395299465995598,0.8260112040181913
ARF,2,random drop 10%,21600,2212,0.8451435633691621,0.8384957927964233,0.8272650898048471
ARF,2,axis1 adversarial 10%,21600,2199,0.8447761440797608,0.8380465629634501,0.8225121113870681
ARF,2,axis2 residual 10%,21600,581,0.845401287997785,0.8270307518551718,0.8339817354320693
ARF,2,RELABEL y~Bern(p_hat),24000,2254,0.8464602847932103,0.8397735792549708,0.828740570799444
ARF,2,RELABEL y=1[p_hat>prev],24000,5523,0.8460736764339032,0.8378817425594381,0.8355495638255879
copula,0,no filter,24000,2425,0.8206332958461147,0.7900689196005384,0.7084834835220715
copula,0,random drop 10%,21600,2176,0.8219776872236432,0.791065166424062,0.6876175973022909
copula,0,axis1 adversarial 10%,21600,1991,0.8254805491363548,0.7892225445529084,0.68869287054094
copula,0,axis2 residual 10%,21600,360,0.8454371818383677,0.8356065099604978,0.8315750063049802
copula,0,RELABEL y~Bern(p_hat),24000,2244,0.8460834851325827,0.8398435679608324,0.8222975407493606
copula,0,RELABEL y=1[p_hat>prev],24000,5486,0.84538612520594,0.8391343861964796,0.8344915307669323
copula,1,no filter,24000,2412,0.8238544896255664,0.7918518326247084,0.6993065464197308
copula,1,random drop 10%,21600,2179,0.822774033624733,0.780480509730229,0.6914650486511454
copula,1,axis1 adversarial 10%,21600,1979,0.8323152846424391,0.7942900009868664,0.6883658853631258
copula,1,axis2 residual 10%,21600,326,0.8437438749174185,0.8345975846443581,0.8257384450959591
copula,1,RELABEL y~Bern(p_hat),24000,2227,0.8458853408527074,0.8406160565227758,0.8265716062416562
copula,1,RELABEL y=1[p_hat>prev],24000,5554,0.845619520835218,0.8401610442691843,0.8367984595974133
copula,2,no filter,24000,2432,0.825297867477542,0.8063079270047782,0.710328910938044
copula,2,random drop 10%,21600,2181,0.825702765419103,0.7956156744546877,0.7008805213122035
copula,2,axis1 adversarial 10%,21600,1975,0.8348918027719983,0.8011276919523782,0.7273382652669611
copula,2,axis2 residual 10%,21600,341,0.8446344961909696,0.8346037097269395,0.8265975843016962
copula,2,RELABEL y~Bern(p_hat),24000,2163,0.8457119538996303,0.8399413979511555,0.8255024152528434
copula,2,RELABEL y=1[p_hat>prev],24000,5379,0.8452875242262008,0.8379486901403818,0.8347860701401624
