gen,subset,mass,prev,mean_pstar,abs_res,bayes_floor,excess,AUC_pstar_y
REAL,ALL,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
REAL,on-manifold,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
copula,ALL,1.0,0.102875,0.09888689859798858,0.17455525490181587,0.13794472924938142,0.036610525652434445,0.5763659616577783
copula,on-manifold,0.7377083333333333,0.09720417961027958,0.07878430182699016,0.15546902803657556,0.11598730503189283,0.03948172300468272,0.5747114415403201
copula,off-manifold,0.26229166666666665,0.11882446386020651,0.15542644996105887,0.22823621544972364,0.199701074884113,0.02853514056561063,0.5623449684706961
REAL,ALL,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
REAL,on-manifold,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
copula,ALL,1.0,0.10033333333333333,0.0987480868707236,0.17100386827690137,0.13759536435111844,0.03340850392578293,0.5964331412274018
copula,on-manifold,0.7346666666666667,0.09261569872958257,0.07935418428295452,0.1501853291852185,0.11663374825634935,0.03355158092886916,0.5988328572434124
copula,off-manifold,0.2653333333333333,0.12170226130653267,0.15244678197555153,0.22864715993276696,0.19563481394015236,0.0330123459926146,0.5608076916422026
REAL,ALL,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
REAL,on-manifold,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
copula,ALL,1.0,0.10345833333333333,0.09725660157901497,0.17271393842828692,0.13672308729698548,0.03599085113130143,0.5877255479941486
copula,on-manifold,0.739,0.09748534055029319,0.078293172165635,0.1545603975216993,0.11613975820920616,0.03842063931249315,0.5851954301514198
copula,off-manifold,0.261,0.12037037037037036,0.1509499898414203,0.2241141940986633,0.1950030880474411,0.02911110605122219,0.5752913679974196
REAL,ALL,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
REAL,on-manifold,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
copula,ALL,1.0,0.09975,0.09717762888453296,0.17033790168231838,0.13711178466879595,0.03322611701352243,0.5856837935500295
copula,on-manifold,0.7382916666666667,0.09385405496924205,0.0771018211430159,0.15011810309339893,0.11487809570345098,0.03524000738994795,0.590194766303506
copula,off-manifold,0.2617083333333333,0.11638274160165579,0.1538124382097902,0.22737891604262148,0.19983407965000088,0.027544836392620592,0.5541188794813966
REAL,ALL,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
REAL,on-manifold,1.0,0.1015,0.09756606940958483,0.13647637263466406,0.13447124286899884,0.00200512976566522,0.8524559696511154
copula,ALL,1.0,0.10079166666666667,0.09985109866097173,0.17320053242542477,0.13954431476764706,0.03365621765777771,0.5905015663514744
copula,on-manifold,0.7367083333333333,0.09484757649454216,0.08041657320964651,0.15357158886643826,0.11855503823869717,0.03501655062774109,0.5942265551680059
copula,off-manifold,0.26329166666666665,0.11742364298148442,0.15423024797334406,0.22812367707907882,0.19827376536241895,0.029849911716659877,0.5590440038916091
