seed,detector,A,Bp,Bpos
0,ORACLE |y-p*|,0.7296567432150314,0.5925086623576431,0.9962807163681799
0,FITTED |y-p_hat| val-selected,0.7092420041753653,0.5776221555868393,0.9924531445231154
0,FITTED |y-p_hat| leaf-constrained,0.6924899060542797,0.5715633866658532,0.9863681799250312
0,FITTED |y-p_hat| paper default,0.6577116701461377,0.5713785679107046,0.9817534360683049
0,leaf axis2 (surprisal),0.6267126722338205,0.5592381701613922,0.9663890045814245
0,adversarial val. (default),0.9998186638830897,0.503402792003173,0.6443107038733861
0,adversarial val. ORACLE-TUNED,0.9997647181628393,0.5057536578030953,0.606643065389421
0,DCR (feat+label),0.9725600417536534,0.5209911916353224,0.5588546438983757
0,kNN density,0.9675305636743216,0.5213029057579073,0.528942107455227
0,alpha-precision (naive),0.7095652922755741,0.5105659842835413,0.15673469387755104
0,Isolation Forest,0.7018945929018789,0.5150320561713033,0.13175760099958353
0,LABEL ALONE y,0.5000482254697286,0.5000000000000001,0.5
1,ORACLE |y-p*|,0.7203269616026711,0.5859805470163127,0.9995002040451375
1,FITTED |y-p_hat| val-selected,0.623414816360601,0.5519449238575143,0.9713052927933093
1,FITTED |y-p_hat| leaf-constrained,0.6719578672787979,0.5617135046655388,0.9897152080114082
1,FITTED |y-p_hat| paper default,0.6429876878130217,0.5650880467167038,0.982420021184012
1,leaf axis2 (surprisal),0.6503522954924876,0.5488307324254948,0.9514510131184976
1,adversarial val. (default),0.9997732470784639,0.4943587070200473,0.6022266139053323
1,adversarial val. ORACLE-TUNED,0.9996891068447412,0.5008317415154919,0.5996726107231451
1,DCR (feat+label),0.9714017320534224,0.5298212396983286,0.5293847924471202
1,kNN density,0.9652062186978295,0.5322701075944605,0.49747580116374507
1,alpha-precision (naive),0.705103453672788,0.525235197400509,0.13956687407434581
1,Isolation Forest,0.7194150667779633,0.5281722145423229,0.21350457840606357
1,LABEL ALONE y,0.5000270450751252,0.5,0.5
2,ORACLE |y-p*|,0.7174572712076891,0.5961907195890508,0.9964171345983345
2,FITTED |y-p_hat| val-selected,0.6797769222732972,0.5754466031217601,0.9913990988182616
2,FITTED |y-p_hat| leaf-constrained,0.6694376305892185,0.5688173639545204,0.9851159269500303
2,FITTED |y-p_hat| paper default,0.642935332218972,0.5704254067398487,0.9755960309138534
2,leaf axis2 (surprisal),0.6048526431257835,0.563168706295996,0.964553923136404
2,adversarial val. (default),0.9999451525282073,0.5065169968334652,0.6625608783485621
2,adversarial val. ORACLE-TUNED,0.9999451525282073,0.5065169968334652,0.6625608783485621
2,DCR (feat+label),0.9712631842875052,0.5300940425733295,0.5544332392746824
2,kNN density,0.965438027580443,0.5360949691510394,0.5241954746588181
2,alpha-precision (naive),0.7002845904722106,0.5199760794167555,0.16435231104939496
2,Isolation Forest,0.685137296280819,0.5275404530800851,0.23369998664016295
2,LABEL ALONE y,0.5000222732971166,0.5,0.5
