gen,ruleset,subset,mass,prev,mean_pstar,abs_res,bayes_floor,excess,AUC_pstar_y
REAL,R1-R6,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6+R7,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6+R7,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
copula,R1-R6,ALL,1.0,0.09770833333333333,0.0987222715226724,0.1703157721406615,0.1371786073098198,0.0331371648308417,0.5819953831134592
copula,R1-R6,on-manifold,0.7346666666666667,0.09278584392014519,0.07994022888073864,0.15216614386397867,0.11629696366392321,0.03586918020005546,0.5830739469708502
copula,R1-R6,off-manifold,0.2653333333333333,0.11133793969849247,0.15072682175234833,0.2205692655097682,0.19499662564594547,0.025572639863822716,0.562590239694574
copula,R1-R6+R7,ALL,1.0,0.09770833333333333,0.0987222715226724,0.1703157721406615,0.1371786073098198,0.0331371648308417,0.5819953831134592
copula,R1-R6+R7,on-manifold,0.64075,0.08993367147873586,0.07136174225988165,0.1431048832680428,0.10570056564701273,0.03740431762103007,0.5820916312173261
copula,R1-R6+R7,off-manifold,0.35925,0.11157504059382974,0.14752187938664788,0.21884848486197098,0.19332211516074144,0.02552636970122954,0.5599110860207466
REAL,R1-R6,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6+R7,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6+R7,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
copula,R1-R6,ALL,1.0,0.09541666666666666,0.09871130512458888,0.1669360912267425,0.1374352056222309,0.029500885604511584,0.6010284033880509
copula,R1-R6,on-manifold,0.73175,0.087176859127662,0.0782105244634435,0.14553385842827962,0.11543451282373957,0.030099345604540056,0.5946239611438664
copula,R1-R6,off-manifold,0.26825,0.11789375582479031,0.15463468349846818,0.2253185100534906,0.19745014301382843,0.027868367039662167,0.5866568948633305
copula,R1-R6+R7,ALL,1.0,0.09541666666666666,0.09871130512458888,0.1669360912267425,0.1374352056222309,0.029500885604511584,0.6010284033880509
copula,R1-R6+R7,on-manifold,0.6366666666666667,0.08606020942408377,0.06993757782349024,0.13842347528496268,0.10454243733202684,0.033881037952935844,0.5921056851798153
copula,R1-R6+R7,off-manifold,0.36333333333333334,0.11181192660550458,0.14913132268889928,0.21689856503298052,0.195072992259194,0.021825572773786522,0.5971095330320637
REAL,R1-R6,ALL,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
REAL,R1-R6,on-manifold,1.0,0.098625,0.09956395268381822,0.13559261634992753,0.1373166197249975,-0.0017240033750699768,0.853490319588138
