dgp_seed,copula_seed,on_manifold_share_r16,smoker1_cigs0_share_of_r16,r1_violations_share_all,on_manifold_share_r16_r7
0,0,0.7371333333333333,0.12661662295378492,0.1132,0.6438
0,1,0.7378333333333333,0.12622543483171447,0.1109,0.6447
0,2,0.7345333333333334,0.1221183517879833,0.1173,0.6448333333333334
0,3,0.7385,0.1263823064770932,0.11126666666666667,0.6451666666666667
0,4,0.7395333333333334,0.1282790949247273,0.1104,0.6446666666666667
1,0,0.7362,0.12691297654622838,0.11326666666666667,0.6427666666666667
1,1,0.7327666666666667,0.12477823772915435,0.11413333333333334,0.6413333333333333
1,2,0.7346333333333334,0.12636689504968465,0.11626666666666667,0.6418
1,3,0.7354666666666667,0.12577048585931835,0.11123333333333334,0.6429666666666667
1,4,0.7393333333333333,0.12853922452660055,0.1091,0.6443
2,0,0.7381333333333333,0.126264450867052,0.11323333333333334,0.6449333333333334
2,1,0.7353,0.12371367695725101,0.11316666666666667,0.6443333333333333
2,2,0.734,0.12584014532243415,0.1152,0.6416333333333334
2,3,0.7357333333333334,0.12658571946357375,0.11196666666666667,0.6426
2,4,0.7404,0.12619304880244914,0.10923333333333334,0.6469666666666667
3,0,0.7295333333333334,0.12364068354199031,0.11386666666666667,0.6393333333333333
3,1,0.7353,0.12661498708010335,0.1132,0.6422
3,2,0.7384,0.12847598410978692,0.11036666666666667,0.6435333333333333
3,3,0.7356,0.1287384448069603,0.11113333333333333,0.6409
3,4,0.7390333333333333,0.1275991159622931,0.11073333333333334,0.6447333333333334
4,0,0.735,0.1253061224489796,0.11546666666666666,0.6429
4,1,0.7386333333333334,0.12189178212013177,0.11236666666666667,0.6486
4,2,0.7383333333333333,0.12275395033860045,0.1153,0.6477
4,3,0.7374333333333334,0.12557067305519143,0.1119,0.6448333333333334
4,4,0.7433,0.1257455491277636,0.10943333333333333,0.6498333333333334
