coupling,bayes_auc_target,prevalence,n_nuisance,seed,outcome,exception_type,exception_message,solved_gamma,solved_alpha,realised_prevalence,expected_bayes_auc
0.0,0.65,0.05,0,0,ok,,,0.5431855367888007,-3.075702725886305,0.0456,0.6499999999999991
0.0,0.65,0.05,20,0,ok,,,0.5431855367888007,-3.075702725886305,0.0456,0.6499999999999991
0.0,0.65,0.05,0,1,ok,,,0.5419475944891445,-3.075508964159922,0.0524,0.6499999999999997
0.0,0.65,0.05,20,1,ok,,,0.5419475944891445,-3.075508964159922,0.0476,0.6499999999999997
0.0,0.65,0.05,0,2,ok,,,0.5425078263333376,-3.075756962509633,0.0546,0.6500000000000006
0.0,0.65,0.05,20,2,ok,,,0.5425078263333376,-3.075756962509633,0.0474,0.6500000000000006
0.0,0.65,0.05,0,3,ok,,,0.5441347029832728,-3.0760932034756543,0.05,0.6499999999999998
0.0,0.65,0.05,20,3,ok,,,0.5441347029832728,-3.0760932034756543,0.0446,0.6499999999999998
0.0,0.65,0.05,0,4,ok,,,0.5424221146570061,-3.0755123177163486,0.0446,0.6499999999999965
0.0,0.65,0.05,20,4,ok,,,0.5424221146570061,-3.0755123177163486,0.0482,0.6499999999999965
0.0,0.65,0.05,0,5,ok,,,0.5424785939482378,-3.0757178146597273,0.049,0.6500000000000015
0.0,0.65,0.05,20,5,ok,,,0.5424785939482378,-3.0757178146597273,0.0492,0.6500000000000015
0.0,0.65,0.05,0,6,ok,,,0.5452351517708811,-3.076190992187957,0.0552,0.6499999999999994
0.0,0.65,0.05,20,6,ok,,,0.5452351517708811,-3.076190992187957,0.048,0.6499999999999994
0.0,0.65,0.05,0,7,ok,,,0.543953116589225,-3.075921639020161,0.0492,0.6499999999999987
0.0,0.65,0.05,20,7,ok,,,0.543953116589225,-3.075921639020161,0.0496,0.6499999999999987
0.0,0.65,0.1,0,0,ok,,,0.5449438145372578,-2.3137813715009816,0.095,0.6500000000000011
0.0,0.65,0.1,20,0,ok,,,0.5449438145372578,-2.3137813715009816,0.0938,0.6500000000000011
0.0,0.65,0.1,0,1,ok,,,0.5440365608791328,-2.3135987224463426,0.1012,0.6499999999999974
0.0,0.65,0.1,20,1,ok,,,0.5440365608791328,-2.3135987224463426,0.1024,0.6499999999999974
0.0,0.65,0.1,0,2,ok,,,0.5446881163919124,-2.313817027726475,0.1046,0.65
0.0,0.65,0.1,20,2,ok,,,0.5446881163919124,-2.313817027726475,0.0958,0.65
0.0,0.65,0.1,0,3,ok,,,0.5460631577745577,-2.3141381253803552,0.1016,0.6500000000000005
0.0,0.65,0.1,20,3,ok,,,0.5460631577745577,-2.3141381253803552,0.0938,0.6500000000000005
0.0,0.65,0.1,0,4,ok,,,0.5442782960575524,-2.3136059127462065,0.0926,0.6499999999999978
0.0,0.65,0.1,20,4,ok,,,0.5442782960575524,-2.3136059127462065,0.096,0.6499999999999978
0.0,0.65,0.1,0,5,ok,,,0.5446531678008958,-2.3137812004523903,0.0956,0.6499999999999994
0.0,0.65,0.1,20,5,ok,,,0.5446531678008958,-2.3137812004523903,0.1052,0.6499999999999994
0.0,0.65,0.1,0,6,ok,,,0.5468101548292639,-2.3142441907598923,0.1026,0.6500000000000027
0.0,0.65,0.1,20,6,ok,,,0.5468101548292639,-2.3142441907598923,0.0976,0.6500000000000027
0.0,0.65,0.1,0,7,ok,,,0.5457771563227791,-2.3140082570948337,0.102,0.6500000000000004
0.0,0.65,0.1,20,7,ok,,,0.5457771563227791,-2.3140082570948337,0.0988,0.6500000000000004
0.0,0.65,0.3,0,0,ok,,,0.5497815864994299,-0.9051327634579956,0.2974,0.6499999999999996
