prevalence,gamma,beyond_solver_gamma_max,solved_alpha,expected_bayes_auc,n_distinct_z_levels,exact_auc_gamma_infinity
0.05,0.5,False,-3.070069818366795,0.6378366176446333,16,0.9944415157894738
0.05,1.0,False,-3.4659174723690236,0.7774514956888947,16,0.9944415157894738
0.05,1.5,False,-4.082177959748475,0.8772419089122575,16,0.9944415157894738
0.05,2.0,False,-4.849844776744319,0.933512841210514,16,0.9944415157894738
0.05,2.5,False,-5.725587843258754,0.9620299514631319,16,0.9944415157894738
0.05,3.0,False,-6.68012050467294,0.976092095759805,16,0.9944415157894738
0.05,4.0,False,-8.746787854137882,0.9869525660392224,16,0.9944415157894738
0.05,5.0,False,-10.934693648158897,0.9902428232490378,16,0.9944415157894738
0.05,6.0,False,-13.176139506266429,0.9914237084512303,16,0.9944415157894738
0.05,8.0,False,-17.711003308701155,0.9922345571044604,16,0.9944415157894738
0.05,10.0,False,-22.268799261283593,0.9925958219648366,16,0.9944415157894738
0.05,15.0,False,-33.70826049715327,0.9930533027794638,16,0.9944415157894738
0.05,20.0,False,-45.17859717784164,0.9932486148461157,16,0.9944415157894738
0.05,25.0,False,-56.65797564660622,0.9933625384920233,16,0.9944415157894738
0.05,30.0,False,-68.1392016545228,0.9934520118911943,16,0.9944415157894738
0.05,40.0,True,-91.1008906425581,0.9936065181649285,16,0.9944415157894738
0.05,50.0,True,-114.05988153449641,0.9937415093859266,16,0.9944415157894738
0.05,60.0,True,-137.0160447130023,0.9938591491482478,16,0.9944415157894738
0.05,80.0,True,-182.92061368258257,0.9940464690920864,16,0.9944415157894738
0.1,0.5,False,-2.3026326479577577,0.6340916950403066,16,0.9879117333333334
0.1,1.0,False,-2.6012688111810935,0.7607334297612443,16,0.9879117333333334
0.1,1.5,False,-3.0266470891370325,0.8515636006852354,16,0.9879117333333334
0.1,2.0,False,-3.530758433050837,0.9085974933091667,16,0.9879117333333334
0.1,2.5,False,-4.083830111980704,0.9421477117035776,16,0.9879117333333334
0.1,3.0,False,-4.662224042611179,0.9610920987864437,16,0.9879117333333334
0.1,4.0,False,-5.8315054873122385,0.977322219590816,16,0.9879117333333334
0.1,5.0,False,-6.9770086180833015,0.9822468990314172,16,0.9879117333333334
0.1,6.0,False,-8.100318652603082,0.9837660848600869,16,0.9879117333333334
0.1,8.0,False,-10.321704684864821,0.9843991394319036,16,0.9879117333333334
0.1,10.0,False,-12.535529748505446,0.984474138328177,16,0.9879117333333334
0.1,15.0,False,-18.0678399940618,0.9845050818420908,16,0.9879117333333334
0.1,20.0,False,-23.60029089507238,0.9845234165752623,16,0.9879117333333334
0.1,25.0,False,-29.1328301624732,0.984540328178645,16,0.9879117333333334
0.1,30.0,False,-34.665395631043985,0.9845568557134169,16,0.9879117333333334
0.1,40.0,True,-45.73055312804928,0.9845895753923822,16,0.9879117333333334
0.1,50.0,True,-56.79573209548114,0.9846220655549294,16,0.9879117333333334
0.1,60.0,True,-67.86093055375824,0.9846543560295781,16,0.9879117333333334
0.1,80.0,True,-89.99138543614816,0.9847183408996634,16,0.9879117333333334
0.3,0.5,False,-0.8883440124668158,0.6232565366269249,16,0.9745398333333333
0.3,1.0,False,-0.9697115351959816,0.720500192850234,16,0.9745398333333333
0.3,1.5,False,-1.052783255656346,0.7843620937780097,16,0.9745398333333333
0.3,2.0,False,-1.125800613222468,0.8251927192155271,16,0.9745398333333333
0.3,2.5,False,-1.1830324824540621,0.8519293829525666,16,0.9745398333333333
0.3,3.0,False,-1.2195550330229825,0.8696066439033292,16,0.9745398333333333
0.3,4.0,False,-1.2263552542073386,0.8882848950989479,16,0.9745398333333333
0.3,5.0,False,-1.1688274094902822,0.8952383463726289,16,0.9745398333333333
0.3,6.0,False,-1.0819595695545372,0.8976712532994559,16,0.9745398333333333
0.3,8.0,False,-0.8844340331429785,0.8990742070904192,16,0.9745398333333333
0.3,10.0,False,-0.6815000090052503,0.8996961160227197,16,0.9745398333333333
0.3,15.0,False,-0.1735001741360381,0.9011104383840189,16,0.9745398333333333
0.3,20.0,False,0.3335549999249387,0.9025884673693232,16,0.9745398333333333
0.3,25.0,False,0.8396011252432889,0.9041357856088861,16,0.9745398333333333
0.3,30.0,False,1.3446376931139674,0.9057492488918558,16,0.9745398333333333
0.3,40.0,True,2.3517129971701527,0.9091586014732311,16,0.9745398333333333
0.3,50.0,True,3.3549060990850443,0.9127786088781071,16,0.9745398333333333
0.3,60.0,True,4.354439170759249,0.9165635679459475,16,0.9745398333333333
0.3,80.0,True,6.343834569996488,0.9244230208860648,16,0.9745398333333333
